Date,City,Disease,Case_Count,AQI,PM2.5,PM10,Temperature,Humidity,Rainfall,Season,Festival,Day_Type
2021-02-20,Bengaluru,Typhoid,14,139.1,73.79,153.33,24.17,58.18,3.28,Winter,None,Normal Day
2021-02-21,Mumbai,Malaria,10,46.03,18.69,37.83,22.12,32.63,1.38,Winter,None,Normal Day
2021-02-22,Kolkata,Dengue,10,260.47,194.9,276.74,20.24,86.87,1.01,Winter,None,Normal Day
2021-02-23,Mumbai,Typhoid,13,80.99,41.96,96.87,15.36,48.25,3.44,Winter,None,Normal Day
2021-02-24,Mumbai,Malaria,16,170.76,134.45,186.85,10.31,43.42,2.4,Winter,None,Normal Day
2021-02-25,Delhi,Typhoid,24,273.89,204.13,272.5,23.29,38.12,1.21,Winter,None,Normal Day
2021-02-26,Kolkata,Typhoid,24,136.42,70.23,155.0,20.6,69.12,4.14,Winter,None,Normal Day
2021-02-27,Kolkata,Influenza,84,137.97,80.54,146.92,20.01,64.34,0.44,Winter,None,Normal Day
2021-02-28,Mumbai,Influenza,60,131.03,88.92,122.86,16.28,84.1,4.32,Winter,None,Normal Day
2021-03-01,Mumbai,Influenza,26,68.25,49.07,76.79,29.1,85.61,2.92,Summer,None,Normal Day
2021-03-02,Kolkata,Typhoid,41,207.71,109.77,229.96,36.57,33.84,1.08,Summer,None,Normal Day
2021-03-03,Delhi,Malaria,26,207.82,119.48,196.92,28.32,49.64,1.44,Summer,None,Normal Day
2021-03-04,Kolkata,Typhoid,11,136.43,103.75,131.94,31.85,38.08,1.86,Summer,None,Normal Day
2021-03-05,Hyderabad,Asthma,28,180.06,80.96,185.98,29.97,72.81,3.6,Summer,None,Normal Day
2021-03-06,Bengaluru,Typhoid,22,72.79,33.0,63.03,39.77,87.06,0.27,Summer,None,Normal Day
2021-03-07,Chennai,Influenza,26,86.37,63.79,78.27,36.45,40.14,4.11,Summer,None,Normal Day
2021-03-08,Bengaluru,Malaria,8,101.66,75.93,100.64,34.7,44.48,1.96,Summer,None,Normal Day
2021-03-09,Chennai,Dengue,27,154.27,101.81,141.47,30.71,83.06,2.02,Summer,None,Normal Day
2021-03-10,Mumbai,Malaria,45,138.0,67.84,124.48,31.28,48.91,0.73,Summer,None,Normal Day
2021-03-11,Hyderabad,Typhoid,36,129.34,73.25,136.89,39.98,31.41,4.71,Summer,None,Normal Day
2021-03-12,Delhi,Dengue,8,275.96,198.51,318.72,36.7,71.26,4.63,Summer,None,Normal Day
2021-03-13,Hyderabad,Influenza,8,115.96,63.94,128.7,39.99,78.28,1.35,Summer,None,Normal Day
2021-03-14,Delhi,Influenza,32,231.31,103.47,211.03,39.87,88.99,2.57,Summer,None,Normal Day
2021-03-15,Mumbai,Influenza,34,89.06,51.51,78.88,31.14,88.85,2.9,Summer,None,Normal Day
2021-03-16,Delhi,Typhoid,8,292.05,160.59,284.77,39.33,51.6,1.89,Summer,None,Normal Day
2021-03-17,Bengaluru,Dengue,15,53.01,33.54,42.84,30.59,51.62,3.33,Summer,Holi,Holiday
2021-03-18,Bengaluru,Asthma,14,96.87,41.16,106.69,38.63,62.23,3.95,Summer,Holi,Holiday
2021-03-19,Bengaluru,Malaria,32,109.59,82.6,105.99,31.66,38.25,1.79,Summer,Holi,Holiday
2021-03-20,Delhi,Asthma,106,313.33,137.7,375.03,31.43,49.59,1.51,Summer,None,Normal Day
2021-03-21,Hyderabad,Dengue,15,119.2,63.22,105.7,29.63,73.27,3.41,Summer,None,Normal Day
2021-03-22,Hyderabad,Influenza,41,72.92,50.1,75.12,35.22,88.46,0.25,Summer,None,Normal Day
2021-03-23,Chennai,Influenza,29,194.81,83.34,231.79,38.71,72.28,1.4,Summer,None,Normal Day
2021-03-24,Chennai,Malaria,28,133.68,65.96,117.12,25.62,82.32,4.62,Summer,None,Normal Day
2021-03-25,Chennai,Malaria,21,74.6,43.98,62.63,30.68,82.08,1.99,Summer,None,Normal Day
2021-03-26,Hyderabad,Asthma,24,128.94,70.24,137.07,25.49,60.13,3.82,Summer,None,Normal Day
2021-03-27,Chennai,Influenza,17,188.76,111.58,184.32,29.06,62.26,1.99,Summer,None,Normal Day
2021-03-28,Mumbai,Diarrhea,43,114.75,81.61,94.65,33.92,88.57,1.59,Summer,None,Normal Day
2021-03-29,Chennai,Diarrhea,30,169.65,86.44,181.27,28.58,78.94,2.78,Summer,None,Normal Day
2021-03-30,Hyderabad,Typhoid,21,187.69,79.97,202.82,29.02,46.55,0.27,Summer,None,Normal Day
2021-03-31,Chennai,Diarrhea,23,67.36,42.05,73.69,37.62,48.76,2.85,Summer,None,Normal Day
2021-04-01,Hyderabad,Dengue,9,172.6,88.59,186.87,33.17,34.48,3.05,Summer,None,Normal Day
2021-04-02,Hyderabad,Asthma,21,142.1,58.57,143.78,28.61,40.55,4.32,Summer,None,Normal Day
2021-04-03,Delhi,Dengue,41,370.72,152.87,427.87,29.05,67.55,1.93,Summer,None,Normal Day
2021-04-04,Mumbai,Influenza,23,154.56,103.29,175.34,27.61,86.92,2.62,Summer,None,Normal Day
2021-04-05,Bengaluru,Diarrhea,45,88.89,68.01,94.29,25.16,81.96,2.53,Summer,None,Normal Day
2021-04-06,Kolkata,Diarrhea,40,183.26,108.12,164.5,25.86,46.28,3.06,Summer,None,Normal Day
2021-04-07,Bengaluru,Typhoid,41,40.43,24.43,38.95,35.06,61.1,1.66,Summer,None,Normal Day
2021-04-08,Bengaluru,Malaria,32,67.72,41.94,75.19,36.9,71.56,4.11,Summer,None,Normal Day
2021-04-09,Kolkata,Asthma,48,110.2,86.31,92.28,39.95,48.37,1.41,Summer,None,Normal Day
2021-04-10,Bengaluru,Diarrhea,20,38.81,23.97,38.77,29.4,51.02,0.07,Summer,None,Normal Day
2021-04-11,Kolkata,Typhoid,18,112.72,55.72,105.61,38.97,58.65,4.67,Summer,None,Normal Day
2021-04-12,Chennai,Asthma,44,141.86,67.01,122.87,39.86,62.46,0.89,Summer,None,Normal Day
2021-04-13,Mumbai,Diarrhea,8,73.64,38.99,79.21,27.0,55.05,0.18,Summer,None,Normal Day
2021-04-14,Bengaluru,Dengue,29,102.89,53.72,88.28,26.26,88.94,4.71,Summer,None,Normal Day
2021-04-15,Mumbai,Asthma,34,125.25,60.19,109.85,34.33,88.76,1.53,Summer,None,Normal Day
2021-04-16,Bengaluru,Typhoid,47,88.45,42.26,105.07,29.95,65.19,4.39,Summer,None,Normal Day
2021-04-17,Chennai,Dengue,11,166.56,121.5,159.28,25.94,63.43,4.73,Summer,None,Normal Day
2021-04-18,Chennai,Dengue,15,99.18,78.38,97.66,28.79,85.23,4.16,Summer,None,Normal Day
2021-04-19,Kolkata,Asthma,12,180.38,112.76,175.86,28.58,77.28,3.27,Summer,None,Normal Day
2021-04-20,Bengaluru,Typhoid,13,35.4,28.11,29.82,33.33,87.13,3.33,Summer,None,Normal Day
2021-04-21,Delhi,Malaria,15,280.8,206.77,246.25,39.26,58.0,3.65,Summer,None,Normal Day
2021-04-22,Delhi,Asthma,34,171.59,122.56,190.91,31.97,65.15,3.89,Summer,None,Normal Day
2021-04-23,Mumbai,Diarrhea,44,44.56,33.93,51.21,25.06,61.69,3.21,Summer,None,Normal Day
2021-04-24,Hyderabad,Malaria,47,164.75,126.27,153.75,25.17,38.03,1.58,Summer,None,Normal Day
2021-04-25,Chennai,Dengue,30,122.91,76.22,98.9,36.52,77.53,1.78,Summer,None,Normal Day
2021-04-26,Delhi,Dengue,22,395.93,225.85,465.15,33.4,68.05,4.5,Summer,None,Normal Day
2021-04-27,Mumbai,Dengue,30,77.93,42.08,82.31,33.46,82.46,4.36,Summer,None,Normal Day
2021-04-28,Mumbai,Asthma,9,110.88,70.93,110.55,37.98,48.71,0.67,Summer,None,Normal Day
2021-04-29,Mumbai,Dengue,8,67.2,52.6,60.59,35.34,59.85,4.78,Summer,None,Normal Day
2021-04-30,Mumbai,Malaria,29,96.42,76.25,114.73,27.83,45.89,4.92,Summer,None,Normal Day
2021-05-01,Chennai,Influenza,8,113.54,69.66,130.65,26.85,41.12,4.45,Summer,None,Normal Day
2021-05-02,Hyderabad,Typhoid,32,156.93,67.7,128.43,26.68,42.37,1.27,Summer,Ramzan/Eid,Holiday
2021-05-03,Hyderabad,Diarrhea,36,188.71,87.77,156.96,34.04,47.97,3.5,Summer,Ramzan/Eid,Holiday
2021-05-04,Mumbai,Malaria,34,101.44,56.47,82.62,27.06,52.37,0.8,Summer,Ramzan/Eid,Holiday
2021-05-05,Bengaluru,Asthma,43,113.48,87.3,131.07,39.87,44.06,0.39,Summer,None,Normal Day
2021-05-06,Delhi,Malaria,11,472.71,237.99,473.99,37.24,85.47,3.01,Summer,None,Normal Day
2021-05-07,Kolkata,Malaria,42,226.25,175.32,209.24,31.62,38.54,0.93,Summer,None,Normal Day
2021-05-08,Kolkata,Malaria,26,162.64,126.45,189.2,38.38,75.6,2.94,Summer,None,Normal Day
2021-05-09,Kolkata,Malaria,41,85.85,61.47,90.01,28.13,79.27,4.64,Summer,None,Normal Day
2021-05-10,Mumbai,Diarrhea,13,123.78,96.08,133.95,38.24,74.45,0.27,Summer,None,Normal Day
2021-05-11,Mumbai,Asthma,25,124.15,74.77,107.7,31.36,57.76,3.57,Summer,None,Normal Day
2021-05-12,Bengaluru,Asthma,25,78.45,37.04,63.97,35.15,38.64,1.57,Summer,None,Normal Day
2021-05-13,Delhi,Influenza,39,401.85,197.04,441.89,39.68,70.96,3.13,Summer,None,Normal Day
2021-05-14,Hyderabad,Typhoid,50,165.73,96.73,178.2,27.5,38.28,3.33,Summer,None,Normal Day
2021-05-15,Kolkata,Diarrhea,34,251.63,120.74,291.25,29.12,49.08,4.02,Summer,None,Normal Day
2021-05-16,Kolkata,Dengue,16,129.94,92.45,153.05,25.25,81.29,1.53,Summer,None,Normal Day
2021-05-17,Kolkata,Malaria,8,235.25,184.29,261.57,29.16,37.69,4.68,Summer,None,Normal Day
2021-05-18,Delhi,Dengue,42,150.94,95.3,162.11,27.6,59.66,1.72,Summer,None,Normal Day
2021-05-19,Kolkata,Malaria,40,154.32,70.29,127.25,38.46,68.45,2.28,Summer,None,Normal Day
2021-05-20,Kolkata,Typhoid,30,123.45,73.71,119.43,29.64,37.98,3.88,Summer,None,Normal Day
2021-05-21,Bengaluru,Influenza,7,124.65,55.99,127.03,25.97,70.12,2.89,Summer,None,Normal Day
2021-05-22,Delhi,Malaria,20,150.97,116.56,136.13,39.0,87.92,0.96,Summer,None,Normal Day
2021-05-23,Delhi,Asthma,72,328.46,162.62,366.72,32.57,49.23,2.4,Summer,None,Normal Day
2021-05-24,Mumbai,Malaria,37,44.91,25.17,53.78,29.46,32.16,4.54,Summer,None,Normal Day
2021-05-25,Kolkata,Influenza,6,159.88,117.15,128.76,34.39,38.26,2.08,Summer,None,Normal Day
2021-05-26,Hyderabad,Diarrhea,13,182.94,121.25,179.11,28.64,40.27,1.28,Summer,None,Normal Day
2021-05-27,Hyderabad,Diarrhea,14,110.9,73.25,104.93,31.01,34.06,1.13,Summer,None,Normal Day
2021-05-28,Mumbai,Influenza,20,101.71,76.02,106.72,39.89,34.02,2.17,Summer,None,Normal Day
2021-05-29,Mumbai,Malaria,5,123.15,71.93,109.23,38.99,66.28,0.35,Summer,None,Normal Day
2021-05-30,Bengaluru,Typhoid,31,35.51,26.24,42.31,34.43,51.64,1.75,Summer,None,Normal Day
2021-05-31,Bengaluru,Asthma,15,64.1,48.97,52.54,32.44,64.44,1.69,Summer,None,Normal Day
2021-06-01,Mumbai,Typhoid,34,158.31,108.22,181.27,21.92,88.78,28.3,Monsoon,None,Normal Day
2021-06-02,Delhi,Typhoid,29,277.37,137.16,282.78,21.41,71.54,8.91,Monsoon,None,Normal Day
2021-06-03,Mumbai,Diarrhea,14,109.66,74.38,118.55,22.1,64.82,17.84,Monsoon,None,Normal Day
2021-06-04,Hyderabad,Diarrhea,17,198.78,113.76,173.81,25.27,80.12,20.01,Monsoon,None,Normal Day
2021-06-05,Delhi,Diarrhea,15,300.55,176.04,269.94,24.05,35.57,7.05,Monsoon,None,Normal Day
2021-06-06,Kolkata,Malaria,36,277.27,113.81,248.74,25.82,71.03,0.04,Monsoon,None,Normal Day
2021-06-07,Hyderabad,Malaria,48,109.23,75.94,118.57,28.63,78.87,18.21,Monsoon,None,Normal Day
2021-06-08,Chennai,Dengue,107,127.62,52.26,150.8,25.76,81.39,0.94,Monsoon,None,Normal Day
2021-06-09,Delhi,Influenza,12,384.76,282.19,401.07,20.47,51.24,27.91,Monsoon,None,Normal Day
2021-06-10,Bengaluru,Diarrhea,40,44.43,27.84,53.17,29.66,82.72,15.13,Monsoon,None,Normal Day
2021-06-11,Hyderabad,Dengue,139,109.36,65.16,93.15,29.95,65.9,22.45,Monsoon,None,Normal Day
2021-06-12,Mumbai,Malaria,25,63.09,28.3,51.63,31.29,72.35,13.0,Monsoon,None,Normal Day
2021-06-13,Hyderabad,Dengue,77,88.33,64.1,88.79,20.53,50.87,26.48,Monsoon,None,Normal Day
2021-06-14,Chennai,Typhoid,14,141.38,91.53,125.3,21.8,60.56,8.76,Monsoon,None,Normal Day
2021-06-15,Delhi,Asthma,100,380.35,223.66,432.83,26.24,60.55,23.4,Monsoon,None,Normal Day
2021-06-16,Chennai,Malaria,13,99.82,76.09,86.5,24.02,77.87,23.38,Monsoon,None,Normal Day
2021-06-17,Bengaluru,Malaria,5,38.1,24.87,43.3,24.45,45.16,11.01,Monsoon,None,Normal Day
2021-06-18,Chennai,Diarrhea,29,167.4,125.59,139.95,30.32,31.04,20.45,Monsoon,None,Normal Day
2021-06-19,Mumbai,Influenza,14,165.14,96.31,142.71,23.54,67.69,10.54,Monsoon,None,Normal Day
2021-06-20,Bengaluru,Dengue,112,60.04,33.42,63.67,20.44,79.77,21.84,Monsoon,None,Normal Day
2021-06-21,Bengaluru,Typhoid,38,109.34,79.61,106.5,31.35,78.44,15.33,Monsoon,None,Normal Day
2021-06-22,Mumbai,Asthma,26,87.26,55.89,72.82,27.22,67.65,9.65,Monsoon,None,Normal Day
2021-06-23,Delhi,Diarrhea,18,379.86,256.94,357.71,27.49,70.28,16.5,Monsoon,None,Normal Day
2021-06-24,Mumbai,Dengue,94,106.54,73.0,113.45,27.78,60.24,4.7,Monsoon,None,Normal Day
2021-06-25,Kolkata,Diarrhea,24,130.19,95.25,108.84,29.29,75.86,20.73,Monsoon,None,Normal Day
2021-06-26,Chennai,Diarrhea,50,53.43,22.17,55.35,31.96,53.12,20.95,Monsoon,None,Normal Day
2021-06-27,Kolkata,Influenza,37,85.6,53.68,70.15,29.63,52.41,27.65,Monsoon,None,Normal Day
2021-06-28,Kolkata,Typhoid,50,187.76,138.08,188.95,20.4,52.0,16.89,Monsoon,None,Normal Day
2021-06-29,Bengaluru,Typhoid,33,131.68,61.78,128.22,31.5,37.43,0.73,Monsoon,None,Normal Day
2021-06-30,Bengaluru,Influenza,33,110.88,66.34,95.18,25.34,35.25,22.5,Monsoon,None,Normal Day
2021-07-01,Chennai,Malaria,49,115.33,83.98,94.49,24.48,31.56,19.78,Monsoon,None,Normal Day
2021-07-02,Bengaluru,Asthma,46,82.49,49.1,72.62,25.61,61.95,26.89,Monsoon,None,Normal Day
2021-07-03,Mumbai,Malaria,45,154.6,75.91,168.26,25.08,83.24,23.12,Monsoon,None,Normal Day
2021-07-04,Chennai,Typhoid,30,79.28,44.17,80.57,31.51,87.82,22.08,Monsoon,None,Normal Day
2021-07-05,Mumbai,Diarrhea,26,160.29,74.04,153.18,26.32,78.81,29.87,Monsoon,None,Normal Day
2021-07-06,Kolkata,Asthma,94,219.21,116.12,226.84,21.92,50.4,1.91,Monsoon,None,Normal Day
2021-07-07,Delhi,Influenza,17,220.73,165.35,230.88,20.59,66.46,5.82,Monsoon,None,Normal Day
2021-07-08,Kolkata,Influenza,20,243.17,136.27,240.59,30.86,81.76,15.79,Monsoon,None,Normal Day
2021-07-09,Bengaluru,Influenza,38,137.81,100.84,124.35,31.03,30.09,10.76,Monsoon,None,Normal Day
2021-07-10,Hyderabad,Malaria,11,125.85,98.43,141.53,25.55,67.99,20.66,Monsoon,None,Normal Day
2021-07-11,Delhi,Typhoid,27,399.65,284.69,464.78,24.63,61.8,7.04,Monsoon,None,Normal Day
2021-07-12,Bengaluru,Malaria,38,101.92,43.41,86.14,31.61,43.38,1.22,Monsoon,None,Normal Day
2021-07-13,Chennai,Diarrhea,18,150.79,87.09,178.49,28.16,80.87,19.78,Monsoon,None,Normal Day
2021-07-14,Bengaluru,Diarrhea,29,92.78,61.5,80.73,25.34,39.28,26.11,Monsoon,None,Normal Day
2021-07-15,Mumbai,Diarrhea,47,55.09,36.12,48.47,26.56,88.44,28.97,Monsoon,None,Normal Day
2021-07-16,Chennai,Diarrhea,6,136.3,92.28,137.73,23.24,62.79,11.02,Monsoon,None,Normal Day
2021-07-17,Chennai,Typhoid,8,142.81,92.18,150.23,27.17,58.34,17.94,Monsoon,None,Normal Day
2021-07-18,Mumbai,Diarrhea,8,44.31,25.14,42.2,21.89,59.97,2.15,Monsoon,None,Normal Day
2021-07-19,Kolkata,Diarrhea,32,279.69,174.42,269.43,23.62,38.06,15.89,Monsoon,None,Normal Day
2021-07-20,Mumbai,Diarrhea,11,41.85,27.28,36.65,21.33,71.15,12.87,Monsoon,None,Normal Day
2021-07-21,Kolkata,Asthma,18,156.47,106.0,151.26,25.92,41.43,25.17,Monsoon,None,Normal Day
2021-07-22,Mumbai,Typhoid,17,173.01,135.87,204.7,27.77,35.8,15.9,Monsoon,None,Normal Day
2021-07-23,Bengaluru,Typhoid,16,118.66,60.67,125.55,20.86,78.1,22.3,Monsoon,None,Normal Day
2021-07-24,Delhi,Dengue,59,335.6,180.14,296.2,28.5,37.97,3.34,Monsoon,None,Normal Day
2021-07-25,Kolkata,Typhoid,27,186.17,99.18,174.16,31.29,67.22,10.9,Monsoon,None,Normal Day
2021-07-26,Kolkata,Malaria,29,136.48,107.55,152.14,29.54,76.53,16.28,Monsoon,None,Normal Day
2021-07-27,Bengaluru,Typhoid,42,63.79,49.59,67.34,22.61,70.69,2.4,Monsoon,None,Normal Day
2021-07-28,Mumbai,Dengue,83,120.28,67.81,119.38,26.4,52.6,25.49,Monsoon,None,Normal Day
2021-07-29,Kolkata,Diarrhea,16,288.16,120.91,276.91,24.74,71.61,5.61,Monsoon,None,Normal Day
2021-07-30,Delhi,Asthma,34,370.89,162.08,348.7,29.6,57.66,16.23,Monsoon,None,Normal Day
2021-07-31,Chennai,Diarrhea,16,143.96,107.1,115.8,21.73,69.43,6.77,Monsoon,None,Normal Day
2021-08-01,Hyderabad,Influenza,44,103.83,56.04,124.41,27.41,64.59,5.1,Monsoon,None,Normal Day
2021-08-02,Chennai,Influenza,39,181.86,90.91,196.17,25.6,58.13,25.6,Monsoon,None,Normal Day
2021-08-03,Kolkata,Influenza,16,84.33,66.95,83.78,31.54,79.3,18.06,Monsoon,None,Normal Day
2021-08-04,Mumbai,Typhoid,20,80.86,37.22,88.83,27.65,83.25,7.51,Monsoon,None,Normal Day
2021-08-05,Chennai,Malaria,41,127.33,68.7,122.77,23.77,54.31,17.36,Monsoon,None,Normal Day
2021-08-06,Kolkata,Typhoid,9,135.04,88.21,143.22,20.71,39.6,24.17,Monsoon,None,Normal Day
2021-08-07,Bengaluru,Typhoid,30,95.76,45.53,81.26,24.21,70.9,19.92,Monsoon,None,Normal Day
2021-08-08,Bengaluru,Asthma,43,137.75,79.63,142.1,23.8,52.3,14.31,Monsoon,None,Normal Day
2021-08-09,Delhi,Malaria,22,418.45,330.94,444.18,31.71,89.05,4.08,Monsoon,None,Normal Day
2021-08-10,Delhi,Influenza,31,366.29,170.01,296.26,24.5,66.14,5.26,Monsoon,Raksha Bandhan,Holiday
2021-08-11,Bengaluru,Typhoid,26,50.18,30.31,54.89,27.52,70.63,6.09,Monsoon,Raksha Bandhan,Holiday
2021-08-12,Kolkata,Diarrhea,38,217.96,139.57,256.11,28.7,50.46,24.88,Monsoon,Raksha Bandhan,Holiday
2021-08-13,Chennai,Typhoid,9,61.36,25.61,63.29,28.11,56.84,21.73,Monsoon,None,Normal Day
2021-08-14,Kolkata,Typhoid,7,272.41,162.67,309.9,22.07,68.56,9.43,Monsoon,Independence Day,Holiday
2021-08-15,Mumbai,Dengue,98,69.92,34.38,82.58,27.32,51.84,24.18,Monsoon,Independence Day,Holiday
2021-08-16,Mumbai,Influenza,43,112.62,87.61,128.61,20.61,47.3,15.34,Monsoon,Independence Day,Holiday
2021-08-17,Mumbai,Typhoid,37,92.02,43.73,78.85,20.15,61.45,11.84,Monsoon,None,Normal Day
2021-08-18,Hyderabad,Dengue,135,139.76,63.02,161.45,30.8,72.42,16.11,Monsoon,None,Normal Day
2021-08-19,Kolkata,Malaria,22,89.27,38.82,72.81,28.91,78.72,11.21,Monsoon,None,Normal Day
2021-08-20,Delhi,Malaria,48,396.4,281.66,398.89,28.17,86.43,14.93,Monsoon,None,Normal Day
2021-08-21,Hyderabad,Influenza,31,198.21,153.19,212.72,23.04,67.28,8.78,Monsoon,None,Normal Day
2021-08-22,Mumbai,Asthma,33,168.68,72.41,150.2,20.92,30.28,12.0,Monsoon,None,Normal Day
2021-08-23,Kolkata,Diarrhea,35,125.84,69.57,126.47,20.29,71.11,10.7,Monsoon,None,Normal Day
2021-08-24,Mumbai,Dengue,69,120.34,72.0,124.61,25.1,84.49,7.62,Monsoon,None,Normal Day
2021-08-25,Kolkata,Dengue,72,288.24,183.63,335.98,30.11,56.28,15.69,Monsoon,None,Normal Day
2021-08-26,Chennai,Dengue,96,182.94,118.68,153.11,23.48,52.04,17.11,Monsoon,None,Normal Day
2021-08-27,Delhi,Typhoid,43,155.76,101.34,156.81,27.31,51.08,0.97,Monsoon,None,Normal Day
2021-08-28,Mumbai,Dengue,87,179.46,115.6,169.34,20.36,85.09,1.28,Monsoon,None,Normal Day
2021-08-29,Bengaluru,Influenza,15,146.71,60.41,125.13,28.28,88.23,17.82,Monsoon,None,Normal Day
